央视,#genre#
CCTV-1综合,http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/cctv1hd8m/8000000/mnf.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8#http://wabc.ml/sxg.php?id=CCTV-1H265_4000#http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV-2财经,http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/cctv2hd8m/8000000/mnf.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225643/index.m3u8#http://wabc.ml/sxg.php?id=CCTV-2H265_4000#http://117.169.121.162:6610/PLTV/88888910/224/3221225619/index.m3u8
CCTV-3综艺,http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/cctv38m/8000000/mnf.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8#http://117.169.120.140:8080/live/cctv-3/.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225647/index.m3u8#http://wabc.ml/sxg.php?id=CCTV-3H265_4000
CCTV-4中文国际,http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/cctv4hd8m/8000000/mnf.m3u8#http://117.169.120.140:8080/live/cctv-4/.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225621/index.m3u8#http://wabc.ml/sxg.php?id=CCTV-4H265_4000#http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV-5体育,http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/cctv58m/8000000/mnf.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225622/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+体育赛事,http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/cctv5phd8m/8000000/mnf.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225649/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225706/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV-6电影,http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/cctv6hd8m/8000000/mnf.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225632/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225650/index.m3u8#http://wabc.ml/sxg.php?id=CCTV-6H265_4000#http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8
CCTV-7国防军事,http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/cctv7hd8m/8000000/mnf.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225624/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225644/index.m3u8#http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//index.m3u8
CCTV-8电视剧,http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/cctv8hd8m/8000000/mnf.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225635/index.m3u8#http://wabc.ml/sxg.php?id=CCTV-8H265_4000#http://117.169.121.162:6610/PLTV/88888910/224/3221225631/index.m3u8#http://bytedance.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//index.m3u8
CCTV-9纪录,http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/cctv9hd8m/8000000/mnf.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225626/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225646/index.m3u8#http://117.169.121.162:6610/PLTV/88888910/224/3221225646/index.m3u8
